127.0.0.1 - - [23/Jan/2016:07:35:41 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:35:43 +0530] "GET /SampleWebApp/ HTTP/1.1" 200 26319
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:35:43 +0530] "GET /SampleWebApp/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:35:43 +0530] "GET /SampleWebApp/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:35:43 +0530] "GET /SampleWebApp/js/jq.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:35:44 +0530] "GET /SampleWebApp/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:35:44 +0530] "GET /SampleWebApp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:35:44 +0530] "GET /SampleWebApp/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:35:44 +0530] "GET /SampleWebApp/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:35:56 +0530] "GET /SampleWebApp/Review.jsp?param=Dell%20Inspiron%203521 HTTP/1.1" 500 2189
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:36:15 +0530] "GET /SampleWebApp/category.jsp HTTP/1.1" 200 23385
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/Newindex.jsp HTTP/1.1" 200 37577
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/jquery-1.11.3.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Whirlpool%20200%20GENIUS%20CLS%20PLUS%203S%20185%20L%20Single%20Door%20Refrigerator.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Whirlpool%20205%20CLS%203S%20190%20L%20Single%20Door%20Refrigerator.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/LG%20GL-B252VPGY%20240%20L%20Double%20Door%20Refrigerator.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Samsung%20RS21HZLMR1XT%20585%20L%20Side%20by%20Side%20Refrigerator.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Philips%20GC1010%20Steam%20Iron.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Bajaj%20Majesty%20MX3%20Steam%20Iron.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Philips%20GC1905%20Steam%20Iron,%201440%20W.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Blue%20Me%20Regular%20Dry%20Iron.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Voltas%20185EY(R)%201.5%20Ton%205%20Star%20Split%20AC.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Hitachi%20RAU023EUEA%202%20Ton%20Inverter%20Split%20AC.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Godrej%20GSC%2018%20FG%206%20SOG%201.5%20Ton%205%20Star%20Split%20AC.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:00 +0530] "GET /SampleWebApp/images/Voltas%20185EY(S)%201.5%20Ton%205%20Star%20Split%20AC.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:07 +0530] "GET /SampleWebApp/category.jsp HTTP/1.1" 200 23385
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/category.jsp HTTP/1.1" 200 23385
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/category.jsp HTTP/1.1" 200 23385
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/category.jsp HTTP/1.1" 200 23385
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/category.jsp HTTP/1.1" 200 23385
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/category.jsp HTTP/1.1" 200 23385
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/css/shop-homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:08 +0530] "GET /SampleWebApp/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:09 +0530] "GET /SampleWebApp/category.jsp HTTP/1.1" 200 23385
0:0:0:0:0:0:0:1 - - [23/Jan/2016:07:37:09 +0530] "GET /SampleWebApp/css/bootstrap.min.css HTTP/1.1" 304 -
